DayDiff,Entities,Helpful,HelpfulYes,KeyPhrases,ProductID,Rating,ReviewID,ReviewText,ReviewTime,ReviewerName,Sentiment,SentimentScore_Mixed,SentimentScore_Negative,SentimentScore_Neutral,SentimentScore_Positive,Summary,TotalVote,UnixReviewTime
409,"['SanDisk', 'SanDisk']","[0, 0]",0,"['a SanDisk SSD', 'my computer', 'the price', 'SanDisk', 'the same quality']",F007WTAJTQ,5,A3A9E9LIEE37E5,I bought a SanDisk SSD for my computer.  It's fast for the price.  I feel confident that anything I order made by SanDisk will be of the same quality.,25-10-2013,Lance Alexander,POSITIVE,9.400163980899379e-05,0.00022756416001357138,0.004212017171084881,0.9954663515090942,Just a good product...,0,1382659200
248,"['Samsung', 'S4', 'SanDisk']","[0, 0]",0,"['my Samsung S4', 'Normal SanDisk quality', 'this brand', 'this brand']",B007WTAJTO,5,A3R54B4AFAV3PD,"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",04-04-2014,aaron mckaig,POSITIVE,0.0002969689085148275,0.00011747985263355076,8.30246863188222e-05,0.9995025396347046,Great,0,1396569600
604,"['class', '#34', '10 SDHC', '#34', 'HC', 'Class 10', '10MB/sec', '10MB per second', 'Class 4', 'Class 4', '4MB/sec', 'Class 10', '2.5 times', 'Samsung', 'Note II.', 'NetFlix', 'iPhomes', 'SanDisk', 'SDHC Class', '10', 'Samsung']","[0, 0]",0,"['No question', 'class', '&#34', '10 SDHC', '#34', 'SD format', 'HC=', 'High Capacity', 'Class 10', '10MB/sec read-write', '10MB', 'Class 4', 'the most common step', 'i.e. cheaper', 'Class 4', 'i.e. 4MB/sec', 'Class 10', '2.5 times', 'the difference', 'Digital cameras', 'some point', 'the number', 'pictures/sec or HD video', 'the speed', 'the media', 'to.Smart phones', 'a Samsung Note II.', 'A Quad-core processor', 'wiz-bang', 'notice', 'speed differences', 'camera', 'app performance', 'a spreadsheet app/browser/NetFlix/Music streaming', 'et al', 'the phone stores stuff', 'the factory installed', 'memory', 'iPhomes', 'an SD slot', 'a phone or tablet', 'choice', 'the computer realm', 'SanDisk', 'a leader and pioneer', 'the SD format', ""'SD"", 'The only other SDHC Class 10 card', 'comparison', 'the Samsung brand', 'that one']",E007WTAJTS,5,A34EWDQHHS9UD6,"No question, it is really as fast as it's rated. How fast? Well, class &#34;10 SDHC&#34; means literally SD format, HC=High Capacity, Class 10 = 10MB/sec read-write. How fast is 10MB per second? Well, Class 4, the most common step down (i.e. cheaper) is Class 4, i.e. 4MB/sec. So Class 10 is 2.5 times faster. Why pay the difference?Digital cameras: at some point the number of pictures/sec or HD video is bottle-necked by the speed of the media it is being recorded to.Smart phones? I have a Samsung Note II. A Quad-core processor, wiz-bang yadda-yadda. Yes, I DO notice speed differences in camera, app performance (I use a spreadsheet app/browser/NetFlix/Music streaming, et al) is noticeably FASTER. Where do you think the phone stores stuff to when it doesn't use the factory installed memory? (iPhomes don't have an SD slot, and I wouldn't own a phone or tablet that doesn't -- I believe in choice in the computer realm)Oh yeah, SanDisk is a leader and pioneer in the SD format (where do you think the 'SD' came from?). The only other SDHC Class 10 card worthy of comparison is the Samsung brand, but then I might be biased on that one.",13-04-2013,Icewalker,POSITIVE,0.23547451198101044,0.0359160341322422,0.2373536378145218,0.49125584959983826,Fast as fast currently gets in SD,0,1365811200
317,"['one month', 'sandisk', '30-32mb', '100%', 'sandisk', '64gb', 'Ultra', '64 GB', 'microSDXC Class 10', '8-10 Mb/s', '8', 'windows', '3.0', 'android', '27 mb', '1 1/2', '2-13-14Received', '40+mb/s', 'around 10-12mb/s', 'about 3 weeks', 'one month.Update', '5-1-14RMA', 'one point']","[1, 2]",1,"['one month', 'the problem', 'the sandisk forums', 'only 30-32mb size.The Lifetime warranty', 'these products', 'the process', 'RMA', 'post', 'status updates.DO NOT TRUST YOUR DATA', 'THIS PRODUCT', 'A BACKUP', '100%', 'the sandisk', ""'users"", ""' forum"", '64gb cards.Here', 'Ultra', 'microSDXC Class', 'UHS-1Write speed', 'brand new condition readspeed', '40+mb/s', 'speed', '10-12mb/s -', 'RMA turn', 'time', 'about 3 weeks', 'rating', 'this one', 'one month.Update 5-1-14RMA replacement', 'the star rating', 'one point']",F007WTAJTQ,3,A5TFF8PLKRCOJ,"Failed after one month and the problem is epidemic on the sandisk forums , they slowly get corrupted then fail and report only 30-32mb size.The Lifetime warranty is nice, but these products are clearly defective , I'm in the process of RMA now, will update post on status updates.DO NOT TRUST YOUR DATA WITH THIS PRODUCT, KEEP A BACKUP OF EVERYTHING YOU PUT ON IT, I'M 100% serious, just look at the sandisk 'users' forum for 64gb cards.Here is my breakdown while it lastedSanDisk Ultra 64 GB microSDXC Class 10 UHS-1Write speed  was 8-10 Mb/s (usually 8, tested windows usb 3.0 reader, and android)Read speed 27 mb/sFAILED @ 1 1/2 monthsUpdate 2-13-14Received back replacement item in brand new condition readspeed is 40+mb/s write speed is still around 10-12mb/s - RMA turn around time was about 3 weeks, I will up rating if this one lasts longer then one month.Update 5-1-14RMA replacement is still going strong, upped the star rating by one point.",25-01-2014,odin,NEGATIVE,0.08076563477516174,0.9165520668029785,0.0010708749759942293,0.0016113371821120381,Failed at one month - RMA Replacement is good,2,1390608000
167,"['Samsung', 'Galaxy S5']","[0, 0]",0,"['my Samsung Galaxy S5', 'my photos', 'videos', 'other data', 'Stores and retrieves', 'the capacity', 'my phone']",E007WTAJTS,5,A1N5UN0DUW3P42,"I use this in my Samsung Galaxy S5 to store my photos, videos, and other data. Stores and retrieves quickly and greatly expands the capacity of my phone.",24-06-2014,G. Abbott,POSITIVE,3.2495659979758784e-05,0.00017580344865564257,0.00282272812910378,0.9969690442085266,Works great,0,1403568000
819,[],"[0, 0]",0,"['The item', 'time', 'a copy operation', 'Further investigation', 'the card', 'bad sectors', 'Refund', 'a hitch', 'not all']",E007WTAJTS,2,ATUPETKG5KNZT,"The item arrive in time, but was unfortunately defective as it would not accept a copy operation. Further investigation led to discovering the card had bad sectors. Refund is progressing without a hitch however, so not all was lost.",10-09-2012,Gabriel,MIXED,0.8647953271865845,0.12459220737218857,0.004574873484671116,0.006037543527781963,"Bad luck, received faulty card.",0,1349740800
743,['12 more words'],"[0, 0]",0,"['this item', 'time', 'nice works', '12 more words', 'just dont']",F007WTAJTQ,5,A267IIIP8ODVIV,this item came on time nice works well  they want 12 more words i just dont have then . .,25-11-2012,sal,POSITIVE,0.09469334781169891,0.001191602787002921,0.0007306357147172093,0.9033843874931335,good stuff,0,1353801600
193,"['one', 'gallaxy', 'S4']","[0, 0]",0,['my wife gallaxy S4'],C007WTAJTP,5,A2BOSVUG4SLYHS,"it just works great as it supposed to be, i would buy one more for my wife gallaxy S4, thanks!",29-05-2014,Yoon S. Choe,POSITIVE,0.0010069418931379914,0.0003567968960851431,0.00018361408729106188,0.9984525442123413,good product!,0,1401321600
525,"['Sprint', 'HTC', 'EVO LTE', 'several frames per second', 'May 12th 2013', 'October 22, 2012', 'about 6 months']","[1, 1]",1,"['Noticeable improvement', 'my Sprint HTC EVO LTE', 'this.Camera app', 'bad pictures', 'burst mode', 'several frames', 'this card', 'a burst picture.Also apps', 'the SD card', 'a lot', 'Card', 'May 12th 2013', 'October 22, 2012', 'about 6 months']",E007WTAJTS,5,A1LYCQCJK2JWQ7,"Noticeable improvement to my Sprint HTC EVO LTE with this.Camera app used to have bad pictures when I shot in burst mode (several frames per second). With this card it never misses a burst picture.Also apps that have been installed to the SD card are a lot more responsive.Update:Card has died on me, as of May 12th 2013. I originally ordered this October 22, 2012. So I got about 6 months out of it. Oh well.",01-07-2013,Karl Carpenter,NEGATIVE,0.4549313187599182,0.47102877497673035,0.0013883976498618722,0.07265156507492065,Super Fast,1,1357516800
400,[],"[0, 0]",0,"['What else', 'Not the fastest card', 'the market', 'the job', 'Copying files', 'music or movies', 'your cellphone', 'other devices']",C007WTAJTP,5,A2EFKDYHXUM65C,"What else can I say? That it is light and small? Not the fastest card on the market, but does the job. Copying files onto it is slow, but it is fast enough to play music or movies from it on your cellphone or other devices.",03-11-2013,Radek,MIXED,0.9172464609146118,0.00023748060630168766,0.0006012262892909348,0.08191487193107605,It works,0,1362960000
972,"['Gen4', '64gb', 'ipod touch', '$350', '$55', 'Galaxy S2 T727']","[0, 0]",0,"['the phone', 'sd card', 'the option', 'format', 'the laptop', 'same thing', 'DOA', 'the card', 'the flip down menu', 'Perfect', 'a Gen4 64gb ipod touch', '$350', '$55', 'no sense', 'The Galaxy S2 T727', 'a media player']",F007WTAJTQ,5,A3UR2N0ATGBCU8,"plug in to the phone shows up sd card, but didn't give me the option to format, plug in to the laptop, same thing. Thought it was DOA. But later realized that I had to format the card from the flip down menu. Now it works Perfect. Was going to look for a Gen4 64gb ipod touch, $350 vs $55 makes no sense. Plus The Galaxy S2 T727 works just fine as a media player.",10-04-2012,X. Chen,MIXED,0.6504285931587219,0.03012995794415474,0.0049929190427064896,0.3144485652446747,Works Great on my Galaxy S2 T727,0,1349308800
31,"['some photos', 'plenty of space']","[0, 0]",0,"['some photos', 'plenty', 'space']",C007WTAJTP,5,A10WTI6XS1CX37,Really helpful I needed to backup some photos and there was plenty of space left,07-11-2014,Zahid,POSITIVE,0.00010790138185257092,0.0005002351826988161,0.0009357770904898643,0.9984560012817383,32G,0,1405036800
