"ReviewID","Sentiment","KeyPhrases"
"A3A9E9LIEE37E5","POSITIVE","a sandisk ssd"
"A3A9E9LIEE37E5","POSITIVE","my computer"
"A3A9E9LIEE37E5","POSITIVE","the price"
"A3A9E9LIEE37E5","POSITIVE","sandisk"
"A3A9E9LIEE37E5","POSITIVE","the same quality"
"A3R54B4AFAV3PD","POSITIVE","my samsung s4"
"A3R54B4AFAV3PD","POSITIVE","normal sandisk quality"
"A3R54B4AFAV3PD","POSITIVE","this brand"
"A3R54B4AFAV3PD","POSITIVE","this brand"
"A34EWDQHHS9UD6","POSITIVE","no question"
"A34EWDQHHS9UD6","POSITIVE","class"
"A34EWDQHHS9UD6","POSITIVE","&#34"
"A34EWDQHHS9UD6","POSITIVE","10 sdhc"
"A34EWDQHHS9UD6","POSITIVE","#34"
"A34EWDQHHS9UD6","POSITIVE","sd format"
"A34EWDQHHS9UD6","POSITIVE","hc="
"A34EWDQHHS9UD6","POSITIVE","high capacity"
"A34EWDQHHS9UD6","POSITIVE","class 10"
"A34EWDQHHS9UD6","POSITIVE","10mb/sec read-write"
"A34EWDQHHS9UD6","POSITIVE","10mb"
"A34EWDQHHS9UD6","POSITIVE","class 4"
"A34EWDQHHS9UD6","POSITIVE","the most common step"
"A34EWDQHHS9UD6","POSITIVE","i.e. cheaper"
"A34EWDQHHS9UD6","POSITIVE","class 4"
"A34EWDQHHS9UD6","POSITIVE","i.e. 4mb/sec"
"A34EWDQHHS9UD6","POSITIVE","class 10"
"A34EWDQHHS9UD6","POSITIVE","2.5 times"
"A34EWDQHHS9UD6","POSITIVE","the difference"
"A34EWDQHHS9UD6","POSITIVE","digital cameras"
"A34EWDQHHS9UD6","POSITIVE","some point"
"A34EWDQHHS9UD6","POSITIVE","the number"
"A34EWDQHHS9UD6","POSITIVE","pictures/sec or hd video"
"A34EWDQHHS9UD6","POSITIVE","the speed"
"A34EWDQHHS9UD6","POSITIVE","the media"
"A34EWDQHHS9UD6","POSITIVE","to.smart phones"
"A34EWDQHHS9UD6","POSITIVE","a samsung note ii."
"A34EWDQHHS9UD6","POSITIVE","a quad-core processor"
"A34EWDQHHS9UD6","POSITIVE","wiz-bang"
"A34EWDQHHS9UD6","POSITIVE","notice"
"A34EWDQHHS9UD6","POSITIVE","speed differences"
"A34EWDQHHS9UD6","POSITIVE","camera"
"A34EWDQHHS9UD6","POSITIVE","app performance"
"A34EWDQHHS9UD6","POSITIVE","a spreadsheet app/browser/netflix/music streaming"
"A34EWDQHHS9UD6","POSITIVE","et al"
"A34EWDQHHS9UD6","POSITIVE","the phone stores stuff"
"A34EWDQHHS9UD6","POSITIVE","the factory installed"
"A34EWDQHHS9UD6","POSITIVE","memory"
"A34EWDQHHS9UD6","POSITIVE","iphomes"
"A34EWDQHHS9UD6","POSITIVE","an sd slot"
"A34EWDQHHS9UD6","POSITIVE","a phone or tablet"
"A34EWDQHHS9UD6","POSITIVE","choice"
