"HelpfulYes","ProductID","Rating","ReviewID","ReviewText","ReviewTime","ReviewerName","Sentiment","SentimentScore_Mixed","SentimentScore_Negative","SentimentScore_Neutral","SentimentScore_Positive","Summary","TotalVote","UnixReviewTime"
"0","F007WTAJTQ","5","A3A9E9LIEE37E5","I bought a SanDisk SSD for my computer.  Its fast for the price.  I feel confident that anything I order made by SanDisk will be of the same quality.","25-10-2013","Lance Alexander","POSITIVE","9.400163980899379e-05","0.00022756416001357138","0.004212017171084881","0.9954663515090942","Just a good product...","0","1382659200"
"0","B007WTAJTO","5","A3R54B4AFAV3PD","Good priceworks flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..","04-04-2014","aaron mckaig","POSITIVE","0.0002969689085148275","0.00011747985263355076","8.30246863188222e-05","0.9995025396347046","Great","0","1396569600"
"0","E007WTAJTS","5","A34EWDQHHS9UD6","No questionit is really as fast as its rated. How fast? Wellclass &#34;10 SDHC&#34; means literally SD formatHC=High CapacityClass 10 = 10MB/sec read-write. How fast is 10MB per second? WellClass 4the most common step down (i.e. cheaper) is Class 4i.e. 4MB/sec. So Class 10 is 2.5 times faster. Why pay the difference?Digital cameras: at some point the number of pictures/sec or HD video is bottle-necked by the speed of the media it is being recorded to.Smart phones? I have a Samsung Note II. A Quad-core processorwiz-bang yadda-yadda. YesI DO notice speed differences in cameraapp performance (I use a spreadsheet app/browser/NetFlix/Music streaminget al) is noticeably FASTER. Where do you think the phone stores stuff to when it doesnt use the factory installed memory? (iPhomes dont have an SD slotand I wouldnt own a phone or tablet that doesnt -- I believe in choice in the computer realm)Oh yeahSanDisk is a leader and pioneer in the SD format (where do you think the SD came from?). The only other SDHC Class 10 card worthy of comparison is the Samsung brandbut then I might be biased on that one.","13-04-2013","Icewalker","POSITIVE","0.23547451198101044","0.0359160341322422","0.2373536378145218","0.49125584959983826","Fast as fast currently gets in SD","0","1365811200"
"1","F007WTAJTQ","3","A5TFF8PLKRCOJ","Failed after one month and the problem is epidemic on the sandisk forums they slowly get corrupted then fail and report only 30-32mb size.The Lifetime warranty is nicebut these products are clearly defective Im in the process of RMA nowwill update post on status updates.DO NOT TRUST YOUR DATA WITH THIS PRODUCTKEEP A BACKUP OF EVERYTHING YOU PUT ON ITIM 100% seriousjust look at the sandisk users forum for 64gb cards.Here is my breakdown while it lastedSanDisk Ultra 64 GB microSDXC Class 10 UHS-1Write speed  was 8-10 Mb/s (usually 8tested windows usb 3.0 readerand android)Read speed 27 mb/sFAILED @ 1 1/2 monthsUpdate 2-13-14Received back replacement item in brand new condition readspeed is 40+mb/s write speed is still around 10-12mb/s - RMA turn around time was about 3 weeksI will up rating if this one lasts longer then one month.Update 5-1-14RMA replacement is still going strongupped the star rating by one point.","25-01-2014","odin","NEGATIVE","0.08076563477516174","0.9165520668029785","0.0010708749759942293","0.0016113371821120381","Failed at one month - RMA Replacement is good","2","1390608000"
"0","E007WTAJTS","5","A1N5UN0DUW3P42","I use this in my Samsung Galaxy S5 to store my photosvideosand other data. Stores and retrieves quickly and greatly expands the capacity of my phone.","24-06-2014","G. Abbott","POSITIVE","3.2495659979758784e-05","0.00017580344865564257","0.00282272812910378","0.9969690442085266","Works great","0","1403568000"
"0","E007WTAJTS","2","ATUPETKG5KNZT","The item arrive in timebut was unfortunately defective as it would not accept a copy operation. Further investigation led to discovering the card had bad sectors. Refund is progressing without a hitch howeverso not all was lost.","10-09-2012","Gabriel","MIXED","0.8647953271865845","0.12459220737218857","0.004574873484671116","0.006037543527781963","Bad luckreceived faulty card.","0","1349740800"
"0","F007WTAJTQ","5","A267IIIP8ODVIV","this item came on time nice works well  they want 12 more words i just dont have then . .","25-11-2012","sal","POSITIVE","0.09469334781169891","0.001191602787002921","0.0007306357147172093","0.9033843874931335","good stuff","0","1353801600"
"0","C007WTAJTP","5","A2BOSVUG4SLYHS","it just works great as it supposed to bei would buy one more for my wife gallaxy S4thanks!","29-05-2014","Yoon S. Choe","POSITIVE","0.0010069418931379914","0.0003567968960851431","0.00018361408729106188","0.9984525442123413","good product!","0","1401321600"
"1","E007WTAJTS","5","A1LYCQCJK2JWQ7","Noticeable improvement to my Sprint HTC EVO LTE with this.Camera app used to have bad pictures when I shot in burst mode (several frames per second). With this card it never misses a burst picture.Also apps that have been installed to the SD card are a lot more responsive.Update:Card has died on meas of May 12th 2013. I originally ordered this October 222012. So I got about 6 months out of it. Oh well.","01-07-2013","Karl Carpenter","NEGATIVE","0.4549313187599182","0.47102877497673035","0.0013883976498618722","0.07265156507492065","Super Fast","1","1357516800"
"0","C007WTAJTP","5","A2EFKDYHXUM65C","What else can I say? That it is light and small? Not the fastest card on the marketbut does the job. Copying files onto it is slowbut it is fast enough to play music or movies from it on your cellphone or other devices.","03-11-2013","Radek","MIXED","0.9172464609146118","0.00023748060630168766","0.0006012262892909348","0.08191487193107605","It works","0","1362960000"
